"tt0944053";"China from the Inside";"";"7.9";"50";"Documentary";"";"";"Andrée Bernard";"English";"UK";"2007–";"";"";"";
"tt0944054";"Diät Duell";"";"";"";"Reality-TV";"";"";"";"German";"Germany";"2005–";"";"";"";
"tt0944055";"Dresdner Schnauzen";"";"5.7";"6";"Documentary,Reality-TV";"";"";"Hendrik Collmar,Gerd Grätz,Michael Hoffmann,Michi Scheffert";"German";"Germany";"2007–";"";"";"";
"tt0944056";"Der Ferienarzt";"3";"2.8";"16";"";"";"";"Janina Flieger,Marek Erhardt";"German";"Germany";"2004–";"";"";"";
"tt0944057";"Impact: Songs That Changed the World";"";"";"";"Documentary,Music";"";"";"Chuck Berry,Elvis Presley,The Beatles,Aretha Franklin";"English";"Canada";"2007";"";"";"http://www.imdb.com/title/tt0944057/plotsummary?ref_=tt_ov_pl";
"tt0944058";"Jazz Session";"";"";"";"Music";"";"";"Roy Crimmins,George Melly,Archie Semple,Ken Sykora";"";"UK";"1957–";"";"";"";
"tt0944059";"Karen in Action!";"";"";"";"Documentary";"";"";"Karen Markwardt";"German";"Germany";"2003–";"";"";"";
"tt0944060";"Per Anhalter durch Mitteldeutschland";"";"";"";"Documentary";"";"";"Axel Bulthaupt";"German";"Germany";"2005–";"";"";"";
"tt0944061";"Sea and Ships";"";"";"";"Documentary";"";"";"Joe Beckett,Anthony Jacobs,A.J. Villiers";"";"UK";"1957–";"";"";"";
"tt0944062";"Sibiriens Schicksalsstrom - Der Jenissei";"1";"";"";"Documentary";"";"";"";"";"Germany";"2005–";"";"";"";
"tt0944063";"Tapetenwechsel";"";"";"";"Documentary";"";"";"Wolfgang Binder";"German";"Germany";"1998–";"";"";"";
"tt0944064";"Wired Science";"";"7.7";"38";"Documentary,Family";"";"";"Aomawa Baker,Kamala Lopez,Ziya Tong,Brian Unger";"";"USA";"2007–";"";"http://ia.media-imdb.com/images/M/MV5BMjA0NDE0MzY1OV5BMl5BanBnXkFtZTgwMTY2MTA2MDE@._V1_SX300.jpg";"http://www.imdb.com/title/tt0944064/plotsummary?ref_=tt_ov_pl";
